com.samsung.shealth.badge,6307003,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
1,2024-09-19 07:00:00.000,,,1,,2024-09-19 13:37:04.019,2024-09-19 13:37:04.019,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-20 06:59:59.999,fd0178bd-3d55-46f1-b516-98b329e1f83b,
1,2024-09-22 07:00:00.000,,,1,,2024-09-22 15:30:55.156,2024-09-22 15:30:55.156,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-23 06:59:59.999,3ecaf5fe-ca68-42c8-9c8d-6b2cc6ffe584,
1,2024-09-23 07:00:00.000,,,1,,2024-09-23 13:50:50.059,2024-09-23 13:50:50.059,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-24 06:59:59.999,a9250f9d-24be-4a6a-91ad-204128aeceea,
1,2024-09-24 07:00:00.000,,,1,,2024-09-24 13:40:16.888,2024-09-24 13:40:16.888,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-25 06:59:59.999,92c4545c-e82f-42a8-b3bc-bd20782a99a9,
1,2024-09-25 07:00:00.000,,,1,,2024-09-25 13:42:45.517,2024-09-25 13:42:45.517,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-26 06:59:59.999,2c42bb07-5e9a-470c-a67a-40f4f26b1b55,
1,2024-09-26 07:00:00.000,,,1,,2024-09-26 13:27:36.285,2024-09-26 13:27:36.285,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-27 06:59:59.999,f23981ee-d696-4d7a-aad0-34007b810f23,
1,2024-09-27 07:00:00.000,,,1,,2024-09-27 13:27:21.321,2024-09-27 13:27:21.321,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-28 06:59:59.999,4d274696-7f4a-4d1b-b1a9-f316085a993d,
,2024-09-28 17:06:52.245,1002,,1,,2024-09-28 18:33:13.145,2024-09-28 18:33:13.145,,running_first_run,,,UTC-0700,,b4nSrpWupN,com.sec.android.app.shealth,9e604133-a8b9-4561-9ee4-88052f4acbf1,tracker.exercise,2024-09-28 18:33:11.940,58940d66-3176-4b52-90d5-1da26ada3bb2,
1,2024-09-29 07:00:00.000,,,1,,2024-09-29 15:35:53.263,2024-09-29 15:35:53.263,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-09-30 06:59:59.999,1a121d96-74b1-4d97-94ff-6f69f2af0d6d,
1,2024-10-01 07:00:00.000,,,1,,2024-10-01 16:09:10.444,2024-10-01 16:09:10.444,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-10-02 06:59:59.999,ffaefc3b-290a-4145-b574-387d238e4760,
1,2024-10-04 07:00:00.000,,,1,,2024-10-04 13:40:21.991,2024-10-04 13:40:21.991,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-10-05 06:59:59.999,84460f39-3e35-456b-b0b7-89997f9d2aa3,
1,2024-10-08 07:00:00.000,,,1,,2024-10-08 13:30:08.053,2024-10-08 13:30:08.053,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-10-09 06:59:59.999,d699120f-cdeb-43da-8618-c279afe581a5,
1,2024-10-09 07:00:00.000,,,1,,2024-10-09 13:24:10.181,2024-10-09 13:24:10.181,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-10-10 06:59:59.999,c551c5eb-3f09-4847-a55c-abdfb2cd34c4,
1,2024-10-16 07:00:00.000,,,1,,2024-10-16 13:39:44.373,2024-10-16 13:39:44.373,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-10-17 06:59:59.999,8a0d92af-90a3-476b-ac0c-a0310d3f373a,
1,2024-10-17 07:00:00.000,,,1,,2024-10-17 13:54:06.109,2024-10-17 13:54:06.109,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-10-18 06:59:59.999,af7088fc-ae82-4a1b-adcb-23d95673ddec,
1,2024-10-19 07:00:00.000,,,1,,2024-10-19 14:11:30.114,2024-10-19 14:11:30.114,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-10-20 06:59:59.999,e889c5cd-2260-467a-9786-c0c6df8516f6,
,2024-10-22 19:26:30.158,5001,,1,,2024-10-22 19:58:16.327,2024-10-22 19:58:16.327,,exercise_goal_first_achieve,,,UTC-0700,,b4nSrpWupN,com.sec.android.app.shealth,76f9ef2c-20e5-4cf9-a40c-8514783e111d,tracker.exercise,2024-10-22 19:58:15.756,d1eecf80-47c2-4b55-af41-45f2d0e3ca1f,
1,2024-10-24 07:00:00.000,,,1,,2024-10-24 13:44:57.750,2024-10-24 13:44:57.750,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-10-25 06:59:59.999,fa08f748-02ff-4f78-9dae-ccdb63b183df,
1,2024-10-25 07:00:00.000,,,1,,2024-10-25 13:46:43.394,2024-10-25 13:46:43.394,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-10-26 06:59:59.999,6f6d38dc-4383-4a29-936a-97692a576b29,
,2024-04-29 07:00:00.000,,100003,1,,2024-10-26 08:34:45.058,2024-04-01 02:17:35.228,com.sec.android.app.shealth,step_milestone_10k_steps,,,UTC-0700,7735.939561448273,3sHRV5oxWU,com.sec.android.app.shealth,,tracker.pedometer,2024-04-30 06:59:59.999,29825e87-9aa7-4883-aebe-5008ed8bc685,
1,2024-10-27 07:00:00.000,,,1,,2024-10-27 15:28:32.102,2024-10-27 15:28:32.102,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-10-28 06:59:59.999,22b9a380-1476-4289-b870-acdbb9239bed,
1,2024-10-30 07:00:00.000,,,1,,2024-10-30 15:01:20.251,2024-10-30 15:01:20.251,,sleep_excellent_sleep,,,UTC-0700,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-10-31 06:59:59.999,c1caaa69-2b38-411b-bb53-48e58d07a80d,
1,2024-11-12 08:00:00.000,,,1,,2024-11-12 14:53:47.042,2024-11-12 14:53:47.042,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-11-13 07:59:59.999,936abc8f-010f-46c6-a630-db0c1225e1d5,
1,2024-11-23 08:00:00.000,,,1,,2024-11-23 16:57:14.529,2024-11-23 16:57:14.529,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-11-24 07:59:59.999,ba461043-31b8-4c45-b57f-1b11a726ee25,
1,2024-11-17 08:00:00.000,,,1,,2024-11-17 15:48:36.448,2024-11-17 15:48:36.448,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-11-18 07:59:59.999,731b801c-a36b-439a-b203-89ed4ba6e74b,
1,2024-11-18 08:00:00.000,,,1,,2024-11-18 16:22:05.046,2024-11-18 16:22:05.046,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-11-19 07:59:59.999,f0d73a29-e5d9-43dc-8e81-280d179fb4ca,
1,2024-11-20 08:00:00.000,,,1,,2024-11-20 14:33:38.353,2024-11-20 14:33:38.353,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-11-21 07:59:59.999,6f00c4e3-f03b-4bff-b84f-b2476fc3bc87,
1,2024-11-21 08:00:00.000,,,1,,2024-11-21 14:50:08.091,2024-11-21 14:50:08.091,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-11-22 07:59:59.999,b21de41c-41bb-4e27-bfbe-2d09b7a7edeb,
