com.samsung.shealth.stress,6307003,8
create_sh_ver,start_time,custom,binning_data,tag_id,modify_sh_ver,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62720071,2024-09-18 17:10:56.000,,,10000,62720071,2024-09-18 17:10:56.904,2024-09-18 17:10:56.904,,,3.0,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-09-18 17:10:56.000,56781bb0-44d8-40ba-b1f6-9877b8ab9f31,
62720071,2024-09-19 16:28:38.000,,,10000,62720071,2024-09-19 16:28:39.125,2024-09-19 16:28:39.125,,,0.0,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-09-19 16:28:38.000,9d9b1a85-4b16-4031-b866-27ced00ebdcd,
62720071,2024-09-20 16:23:29.000,,,10000,62720071,2024-09-20 16:23:29.279,2024-09-20 16:23:29.279,,,0.0,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-09-20 16:23:29.000,6f85f6a5-4439-47ce-8d2b-b152d47803b4,
62720071,2024-09-25 15:27:53.000,,,10000,62720071,2024-09-25 15:27:53.615,2024-09-25 15:27:53.615,,,20.0,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-09-25 15:27:53.000,2bf35c36-1722-4492-b667-977d5f80494f,
62720071,2024-09-28 02:20:26.000,,,10000,62720071,2024-09-28 02:20:26.458,2024-09-28 02:20:26.458,,,50.0,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-09-28 02:20:26.000,70978471-2b49-4570-99ea-c1a24b507b6e,
62720071,2024-09-29 22:13:49.000,,,10000,62720071,2024-09-29 22:13:49.392,2024-09-29 22:13:49.392,,,64.0,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-09-29 22:13:49.000,52e70433-bbf3-4c29-b441-2aa57f63204d,
62720071,2024-10-02 19:18:49.000,,,10000,62720071,2024-10-02 19:18:49.932,2024-10-02 19:18:49.932,,,85.0,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-10-02 19:18:49.000,c9e56e2e-1eb3-4ed7-8cec-9d3aa1a3f667,
62720071,2024-10-03 19:33:50.000,,,10000,62720071,2024-10-03 19:33:51.032,2024-10-03 19:33:51.032,,,0.0,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-10-03 19:33:50.000,e8d8c15c-ac9a-4f23-8d79-79c921d1070e,
62800471,2024-10-23 17:10:33.000,,,10000,62800471,2024-10-23 17:10:33.546,2024-10-23 17:10:33.546,,,32.0,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-10-23 17:10:33.000,ad637b19-b4c2-4988-96dc-eacd34b96db7,
62800471,2024-10-24 15:16:53.000,,,10000,62800471,2024-10-24 15:16:53.490,2024-10-24 15:16:53.490,,,17.0,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-10-24 15:16:53.000,4d13f40d-d7fc-4107-af7e-7110e1f42814,
62800471,2024-10-25 15:38:21.000,,,10000,62800471,2024-10-25 15:38:21.258,2024-10-25 15:38:21.258,,,2.0,,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-10-25 15:38:21.000,4c35dbbb-97b6-4eaf-8d11-0209cd036989,
