com.samsung.shealth.calories_burned.details,6307003,4
active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,24d73d34-5fa4-46c7-a66f-8b60c6303211.extra_data.json,,0.0,62660010,0.0,0,1604.687,62660010,2024-05-01 18:26:42.277,2024-04-17 00:49:50.860,0.0,3sHRV5oxWU,com.sec.android.app.shealth,24d73d34-5fa4-46c7-a66f-8b60c6303211,1712361600000,
,,1bfeeaa0-01ea-492f-8875-c279e86a1c9f.extra_data.json,,0.0,62660010,0.0,0,1604.687,62660010,2024-05-01 18:26:42.292,2024-04-17 00:49:50.797,0.0,3sHRV5oxWU,com.sec.android.app.shealth,1bfeeaa0-01ea-492f-8875-c279e86a1c9f,1712448000000,
,,a4e187e0-8f9a-439b-a30a-b19f8f5e5704.extra_data.json,,0.0,62660010,0.0,0,1604.687,62660010,2024-05-01 18:26:42.311,2024-04-17 00:49:50.715,0.0,3sHRV5oxWU,com.sec.android.app.shealth,a4e187e0-8f9a-439b-a30a-b19f8f5e5704,1712534400000,
,,199fe056-5331-4ae5-9d04-0bfaebd48f8e.extra_data.json,,0.0,62660010,0.0,501650,1595.37,62660010,2024-05-06 15:42:16.826,2024-04-17 00:49:50.629,30.169998,3sHRV5oxWU,com.sec.android.app.shealth,199fe056-5331-4ae5-9d04-0bfaebd48f8e,1712620800000,
,,c811e3da-6f56-44de-b737-ef8080d8cc5f.extra_data.json,,131.269,62660010,0.0,4730665,1516.8254,62660010,2024-05-08 01:16:40.618,2024-04-17 00:49:50.543,338.6323,3sHRV5oxWU,com.sec.android.app.shealth,c811e3da-6f56-44de-b737-ef8080d8cc5f,1712707200000,
,,b9206792-43e8-4822-9df1-e44a6e8af62d.extra_data.json,,0.0,62660010,0.0,0,1604.687,62660010,2024-05-08 01:16:40.641,2024-04-17 00:49:50.441,0.0,3sHRV5oxWU,com.sec.android.app.shealth,b9206792-43e8-4822-9df1-e44a6e8af62d,1712793600000,
,,ec69cce9-08ac-4875-80cf-30583de59e52.extra_data.json,,24.887,62660010,0.0,1423412,1578.2504,62660010,2024-05-08 01:16:40.666,2024-04-17 00:49:50.349,87.765724,3sHRV5oxWU,com.sec.android.app.shealth,ec69cce9-08ac-4875-80cf-30583de59e52,1712880000000,
,,aafb5b52-99d0-414e-ab92-4f5c5433d5a2.extra_data.json,,0.0,62660010,0.0,2707971,1554.3925,62660010,2024-05-08 01:16:40.703,2024-04-17 00:49:50.273,152.26004,3sHRV5oxWU,com.sec.android.app.shealth,aafb5b52-99d0-414e-ab92-4f5c5433d5a2,1712966400000,
,,824d1a35-1ca4-44c8-8eba-68a46d3efa0d.extra_data.json,,190.779,62660010,0.0,5454376,1503.3842,62660010,2024-05-08 01:16:40.819,2024-04-17 00:49:50.116,396.95538,3sHRV5oxWU,com.sec.android.app.shealth,824d1a35-1ca4-44c8-8eba-68a46d3efa0d,1713139200000,
,,498d9cff-d6b4-4d58-b82c-262ecc1ecb55.extra_data.json,,0.0,62660010,0.0,3328084,1542.8754,62660010,2024-05-08 01:16:40.766,2024-04-17 00:49:50.192,183.7001,3sHRV5oxWU,com.sec.android.app.shealth,498d9cff-d6b4-4d58-b82c-262ecc1ecb55,1713052800000,
,,4b01fcdc-6498-4474-9441-89f8f8ace224.extra_data.json,,118.401,62660010,156.6,5876849,1495.5376,62660010,2024-05-08 01:16:40.833,2024-04-17 00:49:49.750,372.3305,3sHRV5oxWU,com.sec.android.app.shealth,4b01fcdc-6498-4474-9441-89f8f8ace224,1713225600000,
,,bde2208e-071f-48ab-8f6a-a831b674a24b.extra_data.json,,62.0,62660010,0.0,4683201,1517.707,62660010,2024-05-08 01:16:40.848,2024-04-17 07:00:00.812,289.46677,3sHRV5oxWU,com.sec.android.app.shealth,bde2208e-071f-48ab-8f6a-a831b674a24b,1713312000000,
,,9b546c58-3b84-4684-b8e6-7ec9a1548ccb.extra_data.json,,55.075,62660010,185.90001,4336803,1524.1406,62660010,2024-05-08 01:16:40.861,2024-04-18 07:40:54.623,272.62894,3sHRV5oxWU,com.sec.android.app.shealth,9b546c58-3b84-4684-b8e6-7ec9a1548ccb,1713398400000,
,,02f26c7a-15ee-416d-87f1-9c0eb258d799.extra_data.json,,0.0,62660010,0.0,5248750,1507.2031,62660010,2024-05-08 01:16:40.874,2024-04-19 07:00:00.526,310.64606,3sHRV5oxWU,com.sec.android.app.shealth,02f26c7a-15ee-416d-87f1-9c0eb258d799,1713484800000,
,,9d80e085-0615-4edc-ac8b-7a979a492b17.extra_data.json,,187.0,62660010,98.0,5949462,1494.189,62660010,2024-05-17 20:20:56.966,2024-04-20 07:00:00.661,406.00922,3sHRV5oxWU,com.sec.android.app.shealth,9d80e085-0615-4edc-ac8b-7a979a492b17,1713571200000,
,,701252a4-fc80-4167-b8f6-c6c94b388e54.extra_data.json,,0.0,62660010,0.0,3459736,1540.43,62660010,2024-05-18 16:07:53.549,2024-04-21 07:00:00.418,190.34525,3sHRV5oxWU,com.sec.android.app.shealth,701252a4-fc80-4167-b8f6-c6c94b388e54,1713657600000,
,,49af6dc7-63f0-4e7c-8881-152938fa78e0.extra_data.json,,0.0,62660010,109.6,4682872,1517.7131,62660010,2024-05-20 03:03:23.352,2024-04-22 07:26:58.515,267.10303,3sHRV5oxWU,com.sec.android.app.shealth,49af6dc7-63f0-4e7c-8881-152938fa78e0,1713744000000,
