com.samsung.shealth.report,6307003,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/Tijuana,1725778800000,2024-09-15 20:18:27.655,2024-09-15 20:18:27.655,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,01d26bb2-261b-463e-88b1-ec90e099f1fa,01d26bb2-261b-463e-88b1-ec90e099f1fa.compressed_content.json,
America/Tijuana,1726383600000,2024-09-22 20:23:08.669,2024-09-22 20:23:08.669,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,eabf24db-0b73-4e48-be38-8cbce041f7b3,eabf24db-0b73-4e48-be38-8cbce041f7b3.compressed_content.json,
America/Tijuana,1726988400000,2024-09-29 20:38:41.823,2024-09-29 20:38:41.823,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,c4b00605-0448-491a-a253-6ce5c597229c,c4b00605-0448-491a-a253-6ce5c597229c.compressed_content.json,
America/Tijuana,1727593200000,2024-10-06 20:19:00.621,2024-10-06 20:19:00.621,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,6a74c404-31c9-442f-ab75-803f244e70ee,6a74c404-31c9-442f-ab75-803f244e70ee.compressed_content.json,
America/Tijuana,1728198000000,2024-10-13 20:19:41.059,2024-10-13 20:19:41.059,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,81217d5e-b1ab-4bb1-8b45-62e7803d5c98,81217d5e-b1ab-4bb1-8b45-62e7803d5c98.compressed_content.json,
America/Tijuana,1728802800000,2024-10-20 20:27:24.224,2024-10-20 20:27:24.224,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,b642c7f6-bbcb-471b-b6e0-6d4681a45d66,b642c7f6-bbcb-471b-b6e0-6d4681a45d66.compressed_content.json,
America/Tijuana,1729407600000,2024-10-27 21:11:55.774,2024-10-27 21:11:55.774,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,3363d129-2fef-4818-9b37-f4560e78eede,3363d129-2fef-4818-9b37-f4560e78eede.compressed_content.json,
America/Los_Angeles,1730012400000,2024-11-03 21:18:36.385,2024-11-03 21:18:36.385,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,3d29ce48-0d98-4204-83ed-6b8dded9fed9,3d29ce48-0d98-4204-83ed-6b8dded9fed9.compressed_content.json,
America/Tijuana,1730617200000,2024-11-10 21:18:56.405,2024-11-10 21:18:56.405,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,fdb9e4a4-fa64-43df-9cef-b90be61aeaed,fdb9e4a4-fa64-43df-9cef-b90be61aeaed.compressed_content.json,
America/Tijuana,1731225600000,2024-11-17 21:19:08.966,2024-11-17 21:19:08.966,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,d40cc8fa-44bf-468b-ab88-7be011099805,d40cc8fa-44bf-468b-ab88-7be011099805.compressed_content.json,
America/Tijuana,1731830400000,2024-11-24 21:18:55.300,2024-11-24 21:18:55.300,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,23198711-b4dc-46bb-b5fa-c87c3d1b47b4,23198711-b4dc-46bb-b5fa-c87c3d1b47b4.compressed_content.json,
America/Tijuana,1732435200000,2024-12-01 21:18:37.771,2024-12-01 21:18:37.771,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,259c19c1-201b-415e-a10c-0de698b32885,259c19c1-201b-415e-a10c-0de698b32885.compressed_content.json,
America/Tijuana,1733040000000,2024-12-08 21:20:44.657,2024-12-08 21:20:44.657,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,1db9b49a-cfcc-4e85-b7c3-55ace3cfbc91,1db9b49a-cfcc-4e85-b7c3-55ace3cfbc91.compressed_content.json,
America/Tijuana,1733644800000,2024-12-15 21:18:35.452,2024-12-15 21:18:35.452,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,f6581465-d8c7-465b-899c-70701d435f08,f6581465-d8c7-465b-899c-70701d435f08.compressed_content.json,
America/Tijuana,1734249600000,2024-12-22 21:24:32.170,2024-12-22 21:24:32.170,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,93d01401-614f-4c3d-9041-9f4a9bdd1d35,93d01401-614f-4c3d-9041-9f4a9bdd1d35.compressed_content.json,
America/Los_Angeles,1734854400000,2024-12-29 21:32:02.742,2024-12-29 21:32:02.742,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,6a9669d6-6ee6-44b1-b529-63f6fb47ad10,6a9669d6-6ee6-44b1-b529-63f6fb47ad10.compressed_content.json,
America/Los_Angeles,1735459200000,2025-01-05 21:19:36.071,2025-01-05 21:19:36.071,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,3df6a34c-6c48-4fe8-a8fc-9845097ce5ee,3df6a34c-6c48-4fe8-a8fc-9845097ce5ee.compressed_content.json,
America/Tijuana,1736064000000,2025-01-12 21:18:40.118,2025-01-12 21:18:40.118,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,66be0969-4e66-472c-acff-434ac7de82bc,66be0969-4e66-472c-acff-434ac7de82bc.compressed_content.json,
America/Tijuana,1736668800000,2025-01-19 21:18:56.081,2025-01-19 21:18:56.081,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,e2da8aea-a815-469f-a3f9-38d8151016ef,e2da8aea-a815-469f-a3f9-38d8151016ef.compressed_content.json,
America/Tijuana,1737273600000,2025-01-26 21:20:44.265,2025-01-26 21:20:44.265,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,4863d6dd-0e1a-441a-84e3-be9d8943232c,4863d6dd-0e1a-441a-84e3-be9d8943232c.compressed_content.json,
America/Tijuana,1737878400000,2025-02-02 21:36:46.937,2025-02-02 21:36:46.937,0,0,3,3sHRV5oxWU,X,com.sec.android.app.shealth,3a276cf5-aef8-4665-8388-341ecead1d6f,3a276cf5-aef8-4665-8388-341ecead1d6f.compressed_content.json,
America/Los_Angeles,1739692800000,2025-02-26 20:23:56.974,2025-02-26 20:23:56.974,0,0,3,u104vMWe/c,X,com.sec.android.app.shealth,72941eb2-868b-4cdb-9c58-e9cb8027cb9a,72941eb2-868b-4cdb-9c58-e9cb8027cb9a.compressed_content.json,
America/Los_Angeles,1742713200000,2025-04-06 23:28:07.892,2025-04-04 23:50:57.082,0,0,3,u104vMWe/c,X,com.sec.android.app.shealth,14d1db30-d594-4d7a-8549-aaeb366075bb,14d1db30-d594-4d7a-8549-aaeb366075bb.compressed_content.json,
America/Los_Angeles,1743922800000,2025-04-13 22:54:10.826,2025-04-13 22:54:10.826,0,0,3,u104vMWe/c,X,com.sec.android.app.shealth,d0779cb0-e13d-4026-9050-ef0dcd4e9d2e,d0779cb0-e13d-4026-9050-ef0dcd4e9d2e.compressed_content.json,
America/Los_Angeles,1744527600000,2025-04-27 22:08:22.280,2025-04-20 22:03:00.275,0,0,3,u104vMWe/c,X,com.sec.android.app.shealth,56ddd606-4e67-440a-9cd3-8b0b1f181052,56ddd606-4e67-440a-9cd3-8b0b1f181052.compressed_content.json,
America/Los_Angeles,1745132400000,2025-05-03 21:54:45.635,2025-05-03 21:54:45.635,0,0,3,u104vMWe/c,X,com.sec.android.app.shealth,c0b0e8fb-7bbd-40dd-bb37-c0466d028553,c0b0e8fb-7bbd-40dd-bb37-c0466d028553.compressed_content.json,
America/Los_Angeles,1745737200000,2025-05-11 21:54:38.811,2025-05-04 21:54:35.271,0,0,3,u104vMWe/c,X,com.sec.android.app.shealth,7e3eeb81-7be8-4d30-8126-19cd20bdceb1,7e3eeb81-7be8-4d30-8126-19cd20bdceb1.compressed_content.json,
America/Los_Angeles,1746342000000,2025-05-18 21:54:03.297,2025-05-15 21:54:32.749,0,0,3,u104vMWe/c,X,com.sec.android.app.shealth,df633f85-7832-4acc-a7b7-65a34965d7c1,df633f85-7832-4acc-a7b7-65a34965d7c1.compressed_content.json,
America/Los_Angeles,1746946800000,2025-05-23 21:54:14.186,2025-05-23 21:54:14.186,0,0,3,u104vMWe/c,X,com.sec.android.app.shealth,c9b8ee7f-ceb3-49da-b1a0-0a8f4c0e796f,c9b8ee7f-ceb3-49da-b1a0-0a8f4c0e796f.compressed_content.json,
America/Los_Angeles,1747551600000,2025-05-25 21:54:13.627,2025-05-25 21:54:13.627,0,0,3,u104vMWe/c,X,com.sec.android.app.shealth,4078f7cf-856c-43d1-be4e-dadc732e4eb5,4078f7cf-856c-43d1-be4e-dadc732e4eb5.compressed_content.json,
America/Los_Angeles,1748156400000,2025-06-01 21:54:07.144,2025-06-01 21:54:07.144,0,0,3,u104vMWe/c,X,com.sec.android.app.shealth,0fff7d6a-3b7c-414e-819c-fade47279645,0fff7d6a-3b7c-414e-819c-fade47279645.compressed_content.json,
America/Los_Angeles,1748761200000,2025-06-08 21:55:41.746,2025-06-08 21:55:41.746,0,0,3,u104vMWe/c,X,com.sec.android.app.shealth,e0665b5a-bb48-4437-9969-0be992a97ee0,e0665b5a-bb48-4437-9969-0be992a97ee0.compressed_content.json,
