com.samsung.health.skin_temperature,6307003,4
create_sh_ver,stat_m1,stat_m2,baseline,start_time,binning_data,stat_n,tag_id,modify_sh_ver,lower_bound,update_time,create_time,client_data_id,upper_bound,max,min,client_data_ver,temperature,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
,36.053406,1300.493,35.79393,2024-04-29 07:32:00.000,41007f43-b4b2-42b4-8672-bed3e8caf086.binning_data.json,408,31301,,34.341366,2024-04-30 14:05:40.185,2024-04-29 15:06:20.275,,37.246494,37.219376,33.36673,,36.053406,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-04-29 14:03:00.000,41007f43-b4b2-42b4-8672-bed3e8caf086,
,36.621284,1341.3684,35.822277,2024-04-30 04:44:00.000,34af3edf-a8d9-404f-bbd9-5cf538d1be08.binning_data.json,89,31301,,34.34739,2024-04-30 14:05:40.204,2024-04-30 07:03:04.100,,37.29716,37.25987,35.24022,,36.621284,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-04-30 05:58:00.000,34af3edf-a8d9-404f-bbd9-5cf538d1be08,
,35.71621,1276.1072,35.840874,2024-04-30 09:12:00.000,00699618-5546-43e6-952b-33ff8a4dcd5a.binning_data.json,247,31301,,34.356705,2024-04-30 14:05:40.219,2024-04-30 14:05:33.161,,37.32504,36.75145,34.2592,,35.71621,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-04-30 13:25:00.000,00699618-5546-43e6-952b-33ff8a4dcd5a,
,35.618156,1269.2281,35.83331,2024-05-01 07:18:00.000,22052cce-2f7c-482d-9598-3c7734ae8e76.binning_data.json,468,31301,,34.356953,2024-05-08 10:27:55.771,2024-05-01 15:50:35.176,,37.309666,37.09937,34.034077,,35.618156,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-01 15:06:00.000,22052cce-2f7c-482d-9598-3c7734ae8e76,
,35.71914,1276.1542,35.811123,2024-05-08 07:21:00.000,a40ae09b-b12c-4b08-8ccc-76a0aa097f68.binning_data.json,120,31301,,34.32818,2024-05-09 15:04:20.748,2024-05-08 10:27:53.445,,37.29407,36.420506,34.727642,,35.71914,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-08 09:46:00.000,a40ae09b-b12c-4b08-8ccc-76a0aa097f68,
,35.424107,1255.4409,35.800934,2024-05-09 07:19:00.000,08381d8c-8c89-4628-a9d3-cd4c6f5f8ab6.binning_data.json,406,31301,,34.338463,2024-05-10 16:00:03.079,2024-05-09 15:03:55.629,,37.263405,36.683533,33.283157,,35.424107,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-09 13:48:00.000,08381d8c-8c89-4628-a9d3-cd4c6f5f8ab6,
,35.632217,1269.9916,35.808754,2024-05-08 11:23:00.000,5eaa7416-9521-44c2-af94-eccb8a166ea5.binning_data.json,216,31301,,34.334743,2024-05-10 16:00:10.001,2024-05-08 15:55:53.671,,37.28277,36.56196,34.613495,,35.632217,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-08 15:08:00.000,5eaa7416-9521-44c2-af94-eccb8a166ea5,
,35.944595,1292.1699,35.771965,2024-05-10 08:14:00.000,4738cada-fea5-4773-8516-493e9262dc9a.binning_data.json,442,31301,,34.294632,2024-05-10 16:00:10.013,2024-05-10 15:59:57.563,,37.249294,36.77639,34.926857,,35.944595,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-10 15:38:00.000,4738cada-fea5-4773-8516-493e9262dc9a,
,36.774185,1352.3905,35.81333,2024-05-15 16:49:00.000,123ecaab-cc65-4272-8769-d311d61a05a8.binning_data.json,56,31301,,34.348797,2024-05-15 18:00:22.123,2024-05-15 18:00:22.123,,37.277863,37.23433,36.488873,,36.774185,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-15 18:00:00.000,123ecaab-cc65-4272-8769-d311d61a05a8,
,36.269993,1315.7313,35.779133,2024-05-12 06:55:00.000,8a63b825-4f34-4763-b2ff-36be1cb2329c.binning_data.json,98,31301,,34.348812,2024-05-14 04:31:38.700,2024-05-14 04:31:38.700,,37.209457,36.71002,35.076405,,36.269993,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-12 09:22:00.000,8a63b825-4f34-4763-b2ff-36be1cb2329c,
