com.samsung.health.hrv,6307003,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62800471,2024-12-12 08:00:00.000,,4cd9dba1-e141-4eea-9541-61a9f218d1fb.binning_data.json,62800471,2024-12-12 09:05:58.685,2024-12-12 09:05:58.685,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 09:00:00.000,4cd9dba1-e141-4eea-9541-61a9f218d1fb,
62800471,2024-12-13 01:00:00.000,,e8622c4e-5197-4df3-9c99-29dca9e1a4a9.binning_data.json,62800471,2024-12-13 02:13:00.355,2024-12-13 02:13:00.355,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-13 02:00:00.000,e8622c4e-5197-4df3-9c99-29dca9e1a4a9,
62800471,2024-12-13 02:00:00.000,,9ae053ef-ceef-4869-b446-839270e8e124.binning_data.json,62800471,2024-12-13 02:25:04.849,2024-12-13 02:25:04.849,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-13 02:25:04.708,9ae053ef-ceef-4869-b446-839270e8e124,
62800471,2024-12-13 09:00:00.000,,e34df96d-4854-42cf-b9a1-60ef0ab16e30.binning_data.json,62800471,2024-12-13 10:16:22.659,2024-12-13 10:16:22.659,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-13 10:00:00.000,e34df96d-4854-42cf-b9a1-60ef0ab16e30,
62800471,2024-12-13 10:00:00.000,,a364d749-e905-4826-8187-8e1cc31fb81a.binning_data.json,62800471,2024-12-13 11:15:31.142,2024-12-13 11:15:31.142,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-13 11:00:00.000,a364d749-e905-4826-8187-8e1cc31fb81a,
62800471,2024-12-13 11:00:00.000,,c7d82174-7143-431c-9d1f-a04c0aed3a58.binning_data.json,62800471,2024-12-13 12:08:55.347,2024-12-13 12:08:55.347,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-13 12:00:00.000,c7d82174-7143-431c-9d1f-a04c0aed3a58,
62800471,2024-12-13 12:00:00.000,,f5f2dcfa-5c87-4d31-aa35-44b058bb9930.binning_data.json,62800471,2024-12-13 13:07:36.617,2024-12-13 13:07:36.617,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-13 13:00:00.000,f5f2dcfa-5c87-4d31-aa35-44b058bb9930,
62800471,2024-12-13 13:00:00.000,,8c57650d-2e42-4b04-ae40-b58418b34690.binning_data.json,62800471,2024-12-13 14:15:01.343,2024-12-13 14:15:01.343,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-13 14:00:00.000,8c57650d-2e42-4b04-ae40-b58418b34690,
62800471,2024-12-13 14:00:00.000,,072a9060-b4c0-40b1-a486-421b6fa8adc7.binning_data.json,62800471,2024-12-13 14:31:29.940,2024-12-13 14:31:29.940,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-13 14:31:29.886,072a9060-b4c0-40b1-a486-421b6fa8adc7,
62800471,2024-12-13 08:00:00.000,,722269b7-fa8b-4792-80ee-dd7f991df755.binning_data.json,62800471,2024-12-13 09:15:00.580,2024-12-13 09:15:00.580,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-13 09:00:00.000,722269b7-fa8b-4792-80ee-dd7f991df755,
62800471,2024-12-14 14:00:00.000,,7d9771b4-0929-42a3-a8ee-f34af72984cd.binning_data.json,62800471,2024-12-14 15:16:36.375,2024-12-14 15:16:36.375,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-14 15:00:00.000,7d9771b4-0929-42a3-a8ee-f34af72984cd,
62800471,2024-12-14 15:00:00.000,,e6ff3854-0cc0-4172-bf52-b3151e984cfb.binning_data.json,62800471,2024-12-14 16:05:22.730,2024-12-14 16:05:22.730,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-14 16:00:00.000,e6ff3854-0cc0-4172-bf52-b3151e984cfb,
62800471,2024-12-14 08:00:00.000,,f871a05e-d457-4af8-acdb-e37874addefc.binning_data.json,62800471,2024-12-14 09:13:20.412,2024-12-14 09:13:20.412,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-14 09:00:00.000,f871a05e-d457-4af8-acdb-e37874addefc,
62800471,2024-12-14 09:00:00.000,,310a21e4-3813-4904-a1a3-a176eb4e8781.binning_data.json,62800471,2024-12-14 10:15:32.203,2024-12-14 10:15:32.203,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-14 10:00:00.000,310a21e4-3813-4904-a1a3-a176eb4e8781,
62800471,2024-12-14 10:00:00.000,,2c0f3a7f-696c-4663-bd9c-7e8a29adbf8f.binning_data.json,62800471,2024-12-14 11:07:24.337,2024-12-14 11:07:24.337,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-14 11:00:00.000,2c0f3a7f-696c-4663-bd9c-7e8a29adbf8f,
62800471,2024-12-14 11:00:00.000,,e2f18b97-6d79-4b1c-a607-da05e7a85999.binning_data.json,62800471,2024-12-14 12:15:41.252,2024-12-14 12:15:41.252,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-14 12:00:00.000,e2f18b97-6d79-4b1c-a607-da05e7a85999,
62800471,2024-12-14 12:00:00.000,,6589316c-b725-4b16-9a3d-50f3822464ec.binning_data.json,62800471,2024-12-14 13:15:00.369,2024-12-14 13:15:00.369,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-14 13:00:00.000,6589316c-b725-4b16-9a3d-50f3822464ec,
62800471,2024-12-14 13:00:00.000,,502d2564-e41e-4c4e-8b3b-71d44b1024d5.binning_data.json,62800471,2024-12-14 14:15:00.400,2024-12-14 14:15:00.400,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-14 14:00:00.000,502d2564-e41e-4c4e-8b3b-71d44b1024d5,
62800471,2024-12-14 16:00:00.000,,85d5a618-1d94-4907-87c0-4e350bc115f8.binning_data.json,62800471,2024-12-14 16:27:20.833,2024-12-14 16:27:20.833,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-14 16:27:20.758,85d5a618-1d94-4907-87c0-4e350bc115f8,
62800471,2024-12-14 21:00:00.000,,aab31447-543d-4a1c-8f65-8319b19166bd.binning_data.json,62800471,2024-12-14 22:06:57.588,2024-12-14 22:06:57.588,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-14 22:00:00.000,aab31447-543d-4a1c-8f65-8319b19166bd,
62800471,2024-12-14 22:00:00.000,,c558c445-602a-4f0d-9c14-dfec733f08bf.binning_data.json,62800471,2024-12-14 22:28:53.180,2024-12-14 22:28:52.518,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-14 22:28:53.057,c558c445-602a-4f0d-9c14-dfec733f08bf,
62800471,2024-12-15 07:00:00.000,,a223e8a8-2ee3-4a8d-b201-d742370e9cbd.binning_data.json,62800471,2024-12-15 08:16:06.216,2024-12-15 08:16:06.216,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-15 08:00:00.000,a223e8a8-2ee3-4a8d-b201-d742370e9cbd,
62800471,2024-12-15 08:00:00.000,,f1abebc4-e7c1-4733-876a-5e3a2cd3e133.binning_data.json,62800471,2024-12-15 09:15:00.409,2024-12-15 09:15:00.409,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-15 09:00:00.000,f1abebc4-e7c1-4733-876a-5e3a2cd3e133,
62800471,2024-12-15 09:00:00.000,,4ff02fcb-e12e-42c2-8253-21613b1ea905.binning_data.json,62800471,2024-12-15 10:14:26.371,2024-12-15 10:14:26.371,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-15 10:00:00.000,4ff02fcb-e12e-42c2-8253-21613b1ea905,
62800471,2024-12-15 10:00:00.000,,3db2d703-3b51-4c37-9423-b0763ce17c77.binning_data.json,62800471,2024-12-15 11:15:39.390,2024-12-15 11:15:39.390,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-15 11:00:00.000,3db2d703-3b51-4c37-9423-b0763ce17c77,
62800471,2024-12-15 11:00:00.000,,9ed99f0b-7e9e-4309-8546-cf43b1d8822e.binning_data.json,62800471,2024-12-15 11:33:00.978,2024-12-15 11:33:00.978,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-15 11:32:59.866,9ed99f0b-7e9e-4309-8546-cf43b1d8822e,
62800471,2024-12-15 16:00:00.000,,b34217b1-f797-4953-ac6e-79df8cfed054.binning_data.json,62800471,2024-12-15 16:26:33.063,2024-12-15 16:26:33.063,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-15 16:25:59.667,b34217b1-f797-4953-ac6e-79df8cfed054,
62800471,2024-12-15 12:00:00.000,,e59f3896-935b-4f36-8639-624a4b14bbff.binning_data.json,62800471,2024-12-15 13:15:40.077,2024-12-15 13:15:40.077,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-15 13:00:00.000,e59f3896-935b-4f36-8639-624a4b14bbff,
62800471,2024-12-15 13:00:00.000,,874a9896-495a-4cd8-b38f-0028cb58e381.binning_data.json,62800471,2024-12-15 14:05:29.513,2024-12-15 14:05:29.513,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-15 14:00:00.000,874a9896-495a-4cd8-b38f-0028cb58e381,
62800471,2024-12-15 14:00:00.000,,04d7dd4f-6e6c-492f-bfb0-03acb67c9a4d.binning_data.json,62800471,2024-12-15 15:15:12.114,2024-12-15 15:15:12.114,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-15 15:00:00.000,04d7dd4f-6e6c-492f-bfb0-03acb67c9a4d,
62800471,2024-12-15 15:00:00.000,,b6496671-d966-4792-beec-e26cedfb33be.binning_data.json,62800471,2024-12-15 16:09:26.983,2024-12-15 16:09:26.983,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-15 16:00:00.000,b6496671-d966-4792-beec-e26cedfb33be,
62800471,2024-12-15 18:00:00.000,,4a203c30-22e9-46bf-8516-00364c6e9222.binning_data.json,62800471,2024-12-15 18:58:33.019,2024-12-15 18:58:33.019,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-15 18:58:32.950,4a203c30-22e9-46bf-8516-00364c6e9222,
