com.samsung.health.floors_climbed,6307003,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2024-04-20 05:46:31.000,,2024-04-20 05:50:44.496,2024-04-20 05:50:44.496,,,1.0,4fb799f8-05e8-47f4-830e-327518ff1c8c.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-20 05:50:23.000,4fb799f8-05e8-47f4-830e-327518ff1c8c,
2024-04-21 07:00:38.631,,2024-04-21 14:04:34.592,2024-04-21 14:04:34.592,,,1.0,669280d1-3135-49b9-bbe0-671f33fc5720.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-21 07:34:38.999,669280d1-3135-49b9-bbe0-671f33fc5720,
2024-04-21 18:10:48.100,,2024-04-21 20:42:31.824,2024-04-21 20:42:30.322,,,1.0,a79e0b00-5782-4f8f-90cf-f0cc5e26dc5b.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-21 20:41:58.000,a79e0b00-5782-4f8f-90cf-f0cc5e26dc5b,
2024-04-23 05:02:46.586,,2024-04-23 05:49:57.976,2024-04-23 05:49:56.325,,,1.0,737fcff4-dde4-4944-be0e-62feca37fd8b.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-23 05:49:42.000,737fcff4-dde4-4944-be0e-62feca37fd8b,
2024-04-23 05:49:57.916,,2024-04-23 05:54:20.280,2024-04-23 05:54:20.280,,,1.0,01e528c4-9686-4a03-8481-40f887358da8.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-23 05:54:01.000,01e528c4-9686-4a03-8481-40f887358da8,
2024-04-24 05:35:05.846,,2024-04-24 06:03:05.331,2024-04-24 06:03:05.331,,,1.0,5b96e4be-ef90-4db4-ad2f-69202e074a85.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-24 06:02:39.000,5b96e4be-ef90-4db4-ad2f-69202e074a85,
2024-04-26 03:36:14.823,,2024-04-26 05:56:08.321,2024-04-26 05:56:08.321,,,1.0,484cbba7-4658-4446-bdc8-402e155a0bcf.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-26 05:55:15.000,484cbba7-4658-4446-bdc8-402e155a0bcf,
2024-04-26 17:10:01.343,,2024-04-26 17:49:12.489,2024-04-26 17:49:12.489,,,1.0,f8154ba2-3a95-4012-9edd-4a82e7867d04.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-26 17:48:12.000,f8154ba2-3a95-4012-9edd-4a82e7867d04,
2024-04-26 22:23:46.995,,2024-04-26 23:15:50.279,2024-04-26 23:15:50.279,,,1.0,1a2d1ea0-7da2-4db9-b7aa-937a9c36fba3.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-26 23:12:09.999,1a2d1ea0-7da2-4db9-b7aa-937a9c36fba3,
2024-04-27 03:24:44.407,,2024-04-27 03:42:53.437,2024-04-27 03:42:53.437,,,1.0,b6d990d3-ee8a-47f7-a4de-6c6e2f6b3b49.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-27 03:41:28.000,b6d990d3-ee8a-47f7-a4de-6c6e2f6b3b49,
