com.samsung.health.movement,6307003,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62800471,2024-12-11 10:00:00.000,,2ab1780c-739a-4290-864f-ebd078cf204c.binning_data.json,62800471,2024-12-11 11:13:37.044,2024-12-11 10:13:00.051,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-11 10:59:59.999,2ab1780c-739a-4290-864f-ebd078cf204c,
62800471,2024-12-11 11:00:00.000,,dd48003e-adba-43c5-afa3-162af2b69ed1.binning_data.json,62800471,2024-12-11 12:14:14.036,2024-12-11 11:13:37.053,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-11 11:59:59.999,dd48003e-adba-43c5-afa3-162af2b69ed1,
62800471,2024-12-11 15:00:00.000,,e57370e6-f729-4df2-9c0e-67814ff0bbb2.binning_data.json,62800471,2024-12-11 16:16:43.040,2024-12-11 15:16:05.048,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-11 15:59:59.999,e57370e6-f729-4df2-9c0e-67814ff0bbb2,
62800471,2024-12-11 20:00:00.000,,d8c1486c-7652-4da1-b9f9-31404d425ae1.binning_data.json,62800471,2024-12-11 21:19:49.103,2024-12-11 20:19:12.050,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-11 20:59:59.999,d8c1486c-7652-4da1-b9f9-31404d425ae1,
62800471,2024-12-12 00:00:00.000,,f8272e8c-6df9-4c0c-af27-bbf0f3e951ef.binning_data.json,62800471,2024-12-12 01:02:01.036,2024-12-12 00:01:25.051,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 00:59:59.999,f8272e8c-6df9-4c0c-af27-bbf0f3e951ef,
62800471,2024-12-12 01:00:00.000,,d777085c-397f-456b-b1ec-9ea8a13e6301.binning_data.json,62800471,2024-12-12 02:02:31.080,2024-12-12 01:02:01.150,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 01:59:59.999,d777085c-397f-456b-b1ec-9ea8a13e6301,
62800471,2024-12-12 02:00:00.000,,33996b56-1cf8-4d40-9fd4-059b605a5eac.binning_data.json,62800471,2024-12-12 03:03:01.049,2024-12-12 02:02:31.189,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 02:59:59.999,33996b56-1cf8-4d40-9fd4-059b605a5eac,
62800471,2024-12-12 03:00:00.000,,d6cff729-0e32-4e7a-ae78-e08f3210ffcc.binning_data.json,62800471,2024-12-12 04:03:38.044,2024-12-12 03:03:01.057,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 03:59:59.999,d6cff729-0e32-4e7a-ae78-e08f3210ffcc,
62800471,2024-12-11 21:00:00.000,,9ca4fbd8-a970-41df-a7f1-7f3c937c84eb.binning_data.json,62800471,2024-12-11 22:00:14.041,2024-12-11 21:19:49.119,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-11 21:59:59.999,9ca4fbd8-a970-41df-a7f1-7f3c937c84eb,
62800471,2024-12-12 04:00:00.000,,1b0a5c02-089b-479b-a6f0-fc9c67410846.binning_data.json,62800471,2024-12-12 05:04:16.388,2024-12-12 04:03:38.051,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 04:59:59.999,1b0a5c02-089b-479b-a6f0-fc9c67410846,
