com.samsung.health.respiratory_rate,6307003,2
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,average,lower_limit,update_time,create_time,client_data_id,upper_limit,client_data_ver,is_outlier,pplib_version,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62800471,2024-12-11 05:38:00.000,,35924df1-53dc-407e-97ed-005ae5fa9d05.binning_data.json,62800471,21.911432,0.0,2024-12-11 14:34:33.481,2024-12-11 14:34:33.481,,0.0,,0,1.01.04,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-11 14:17:00.000,35924df1-53dc-407e-97ed-005ae5fa9d05,
62800471,2024-12-12 07:25:00.000,,ebb31e6c-d4ea-4c4c-9443-0b0066b89c8e.binning_data.json,62800471,20.833826,0.0,2024-12-12 14:41:03.509,2024-12-12 14:41:03.509,,0.0,,0,1.01.04,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 14:23:00.000,ebb31e6c-d4ea-4c4c-9443-0b0066b89c8e,
62800471,2024-12-13 07:48:00.000,,321084ca-954b-49d2-9e7d-ab98fb189c13.binning_data.json,62800471,22.02038,20.934307,2024-12-13 14:31:29.747,2024-12-13 14:31:29.747,,22.273659,,0,1.01.04,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-13 14:23:00.000,321084ca-954b-49d2-9e7d-ab98fb189c13,
62800471,2024-12-14 08:39:00.000,,45010938-8363-4858-a0c5-a88a2d6a77b4.binning_data.json,62800471,20.62883,20.579903,2024-12-14 16:27:22.187,2024-12-14 16:27:22.187,,22.136898,,0,1.01.04,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-14 16:21:00.000,45010938-8363-4858-a0c5-a88a2d6a77b4,
62800471,2024-12-15 12:14:00.000,,30acb539-f252-4508-87db-11cc733cef96.binning_data.json,62800471,22.732096,20.520058,2024-12-15 16:25:59.844,2024-12-15 16:25:59.844,,22.50338,,1,1.01.04,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-15 16:11:00.000,30acb539-f252-4508-87db-11cc733cef96,
62800471,2024-12-15 07:04:00.000,,1e3b910e-1bea-473c-8629-b0eb4456b1b8.binning_data.json,62800471,23.450642,20.346138,2024-12-15 11:33:01.076,2024-12-15 11:33:01.076,,22.894745,,1,1.01.04,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-15 11:07:00.000,1e3b910e-1bea-473c-8629-b0eb4456b1b8,
62800471,2024-12-16 08:24:00.000,,542c528f-dfb1-4f76-a449-f74712cf579c.binning_data.json,62800471,21.098152,20.595028,2024-12-16 16:49:56.108,2024-12-16 16:49:56.108,,22.009857,,0,1.01.04,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-16 16:27:00.000,542c528f-dfb1-4f76-a449-f74712cf579c,
62800471,2024-12-17 05:01:00.000,,0f317a43-bf58-4a2a-9bba-d5864d64464e.binning_data.json,62800471,16.65497,18.645382,2024-12-17 08:13:29.815,2024-12-17 08:13:29.815,,23.296165,,1,1.01.04,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-17 08:08:00.000,0f317a43-bf58-4a2a-9bba-d5864d64464e,
62800471,2024-12-17 08:08:00.000,,95ef7744-0ec7-4476-a3ad-a26b060eaad2.binning_data.json,62800471,21.202518,20.641182,2024-12-17 14:46:29.885,2024-12-17 14:46:29.885,,21.935886,,0,1.01.04,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-17 14:41:00.000,95ef7744-0ec7-4476-a3ad-a26b060eaad2,
62800471,2024-12-18 06:22:00.000,,d7f3fc0a-0355-4aa1-b562-49563bb3ecee.binning_data.json,62800471,21.207062,20.675568,2024-12-18 14:43:47.751,2024-12-18 14:43:47.751,,21.87601,,0,1.01.04,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-18 14:35:00.000,d7f3fc0a-0355-4aa1-b562-49563bb3ecee,
