com.samsung.shealth.program.sleep_coaching.mission,6307003,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
62670070,null,5,62670070,2024-07-13 17:30:18.158,2024-07-13 17:30:18.158,2,3,HB_05,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,79c13e98-2dda-4c79-b7a5-ef6effed6f91,0,
62670070,null,10,62670070,2024-07-13 17:30:18.159,2024-07-13 17:30:18.159,2,5,HB_10,3sHRV5oxWU,com.sec.android.app.shealth,1,be1bf15d-a712-4720-b630-d99311cacc96,f5c0f863-10b0-4b7e-b4b9-2adb1ae07b67,0,
62670070,null,5,62670070,2024-07-13 17:30:18.159,2024-07-13 17:30:18.159,2,5,HB_05,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,48770b48-2701-44b4-987c-7ea5ec6394de,0,
62670070,null,6,62670070,2024-07-13 17:30:18.158,2024-07-13 17:30:18.158,2,3,HB_06,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,69495af8-86a2-4911-ba9e-71fdcc62ca6d,0,
62670070,null,2,62670070,2024-07-13 17:30:18.159,2024-07-13 17:30:18.159,2,5,HB_02,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,79027962-5cc0-4f2a-a94b-35455e6f0538,0,
62670070,null,11,62670070,2024-07-13 17:30:18.159,2024-07-13 17:30:18.159,2,5,HB_11,3sHRV5oxWU,com.sec.android.app.shealth,1,be1bf15d-a712-4720-b630-d99311cacc96,30e91251-bc81-44ea-9462-3c2bddb23336,0,
62670070,null,9,62670070,2024-07-13 17:30:18.158,2024-07-13 17:30:18.158,2,3,HB_09,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,b6959526-25f9-4132-a826-a36ac0d25512,0,
62670070,null,3,62670070,2024-07-13 17:30:18.158,2024-07-13 17:30:18.158,2,4,HB_03,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,d9b852ff-3233-4e44-a987-d889adf59a99,0,
62670070,null,3,62670070,2024-07-13 17:30:18.158,2024-07-13 17:30:18.158,2,3,HB_03,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,7add6ec0-bef6-4f0b-b874-4aaffaf0f929,0,
62670070,null,6,62670070,2024-07-13 17:30:18.158,2024-07-13 17:30:18.158,2,4,HB_06,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,77d571f3-db0c-4bde-9491-468675ec271c,0,
62670070,null,3,62670070,2024-07-13 17:30:18.160,2024-07-13 17:30:18.160,2,6,HB_03,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,ab4a6e4a-6d85-48f4-8bcd-6f5a393eb4e4,0,
